"Label (Grouping)","Median household income in the past 12 months (in 2022 inflation-adjusted dollars)"
"Census Tract 1260; Hennepin County; Minnesota",""
"    Estimate","31,655"
"Census Tract 1261.01; Hennepin County; Minnesota",""
"    Estimate","79,552"
"Census Tract 1261.02; Hennepin County; Minnesota",""
"    Estimate","120,571"
"Census Tract 1262.01; Hennepin County; Minnesota",""
"    Estimate","120,313"
"Census Tract 1262.02; Hennepin County; Minnesota",""
"    Estimate","129,861"
"Census Tract 1263; Hennepin County; Minnesota",""
"    Estimate","37,568"
"Census Tract 9800; Hennepin County; Minnesota",""
"    Estimate","-"
"Census Tract 9801; Hennepin County; Minnesota",""
"    Estimate","25,950"
