"Label (Grouping)","Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"    Estimate","52,386"
"Census Tract 1101, Hennepin County, Minnesota",""
"    Estimate","53,262"
"Census Tract 1102, Hennepin County, Minnesota",""
"    Estimate","68,276"
"Census Tract 1104, Hennepin County, Minnesota",""
"    Estimate","53,902"
"Census Tract 1105, Hennepin County, Minnesota",""
"    Estimate","70,432"
"Census Tract 1108, Hennepin County, Minnesota",""
"    Estimate","83,835"
"Census Tract 1109, Hennepin County, Minnesota",""
"    Estimate","83,077"
"Census Tract 1111, Hennepin County, Minnesota",""
"    Estimate","78,750"
"Census Tract 1112, Hennepin County, Minnesota",""
"    Estimate","122,333"
"Census Tract 1113, Hennepin County, Minnesota",""
"    Estimate","115,875"
"Census Tract 1114, Hennepin County, Minnesota",""
"    Estimate","122,051"
"Census Tract 1115, Hennepin County, Minnesota",""
"    Estimate","108,558"
"Census Tract 1116, Hennepin County, Minnesota",""
"    Estimate","114,750"
"Census Tract 1225, Hennepin County, Minnesota",""
"    Estimate","64,280"
"Census Tract 1226, Hennepin County, Minnesota",""
"    Estimate","82,717"
"Census Tract 1255, Hennepin County, Minnesota",""
"    Estimate","43,125"
"Census Tract 1256, Hennepin County, Minnesota",""
"    Estimate","56,944"
"Census Tract 1257, Hennepin County, Minnesota",""
"    Estimate","36,974"
"Census Tract 1258, Hennepin County, Minnesota",""
"    Estimate","46,055"
"Census Tract 1259, Hennepin County, Minnesota",""
"    Estimate","35,224"
"Census Tract 1260, Hennepin County, Minnesota",""
"    Estimate","18,404"
"Census Tract 1261, Hennepin County, Minnesota",""
"    Estimate","70,669"
"Census Tract 1262, Hennepin County, Minnesota",""
"    Estimate","104,457"
"Census Tract 9800, Hennepin County, Minnesota",""
"    Estimate","17,763"
